5x  10x N50 Coverage
97.42 	96.83 	21655 	26.61 
97.69 	95.81 	10052 	26.60 
97.39 	96.82 	12860 	26.59 
97.63 	95.84 	9167 	26.55 
97.54 	94.62 	4398 	26.52 
97.66 	95.89 	11818 	26.48 
97.66 	95.77 	8310 	26.47 
97.32 	96.62 	12955 	26.45 
97.76 	96.15 	13848 	26.43 
97.74 	96.22 	16670 	26.37 
97.71 	96.06 	12317 	26.35 
97.39 	96.81 	15819 	26.30 
97.38 	96.78 	13849 	26.25 
97.54 	95.25 	6064 	26.23 
97.72 	96.02 	16433 	26.19 
97.38 	96.70 	10330 	26.19 
97.41 	96.79 	13169 	26.16 
97.70 	95.87 	13440 	26.14 
97.43 	96.83 	23306 	26.13 
97.41 	96.79 	12398 	26.12 
97.66 	95.88 	16214 	26.11 
97.29 	96.69 	15846 	26.10 
97.68 	95.48 	21719 	26.06 
97.35 	96.69 	13652 	25.89 
97.41 	96.75 	14253 	25.85 
97.65 	95.67 	9069 	25.83 
97.39 	96.78 	21002 	25.80 
97.37 	96.74 	15916 	25.70 
97.61 	95.17 	10984 	25.64 
97.76 	95.90 	22906 	25.56 
97.65 	95.35 	8432 	25.49 
97.63 	95.53 	8187 	25.47 
97.59 	95.33 	9609 	25.44 
97.39 	96.65 	22076 	25.42 
97.35 	96.56 	8705 	25.39 
97.29 	96.67 	10445 	25.33 
97.33 	96.22 	5388 	25.24 
97.70 	95.95 	14142 	25.22 
97.33 	96.56 	10898 	25.21 
97.38 	96.66 	12268 	25.12 
97.64 	95.69 	14542 	25.09 
97.38 	96.69 	18041 	25.08 
97.58 	95.41 	11688 	25.07 
97.27 	96.54 	10094 	25.01 
97.44 	96.71 	17302 	25.00 
97.69 	95.77 	18296 	24.98 
97.35 	96.62 	10453 	24.98 
97.61 	95.34 	8938 	24.97 
97.36 	96.55 	9077 	24.94 
97.29 	96.33 	7234 	24.94 
97.57 	94.89 	10508 	24.90 
97.41 	96.71 	21896 	24.88 
97.68 	95.58 	14479 	24.86 
97.38 	96.64 	19634 	24.84 
97.36 	96.53 	9983 	24.84 
97.43 	94.69 	8505 	24.78 
97.62 	95.34 	11059 	24.76 
97.38 	96.67 	19401 	24.75 
97.35 	96.59 	12227 	24.74 
97.35 	96.57 	16630 	24.73 
97.25 	95.81 	5899 	24.72 
97.35 	96.41 	7750 	24.67 
97.41 	96.48 	19069 	24.67 
97.64 	95.37 	11963 	24.67 
97.33 	96.51 	11225 	24.67 
97.40 	96.66 	17206 	24.66 
97.64 	95.30 	9290 	24.65 
97.25 	96.12 	7498 	24.64 
97.61 	95.24 	10987 	24.57 
97.35 	96.50 	8486 	24.56 
97.36 	96.59 	13520 	24.55 
97.67 	95.34 	20561 	24.53 
97.61 	95.51 	12019 	24.52 
97.63 	95.42 	13935 	24.51 
97.36 	96.63 	15183 	24.46 
97.61 	95.05 	12223 	24.44 
97.61 	95.38 	14945 	24.39 
97.53 	94.97 	7965 	24.30 
97.54 	95.17 	9677 	24.29 
97.38 	96.59 	14028 	24.27 
97.38 	96.55 	17924 	24.26 
97.66 	95.46 	14919 	24.22 
97.35 	96.36 	9187 	24.21 
97.47 	94.48 	6880 	24.16 
97.40 	96.64 	19382 	24.15 
97.58 	95.12 	10877 	24.08 
97.35 	96.57 	16366 	24.07 
97.28 	95.79 	10000 	24.05 
97.41 	96.63 	18843 	24.05 
97.67 	95.44 	19806 	24.04 
97.69 	95.53 	18505 	24.00 
97.32 	96.50 	16834 	23.99 
97.54 	95.27 	15030 	23.98 
97.34 	96.41 	10131 	23.96 
97.65 	95.01 	15722 	23.96 
97.60 	95.10 	11360 	23.95 
97.30 	96.40 	11334 	23.94 
97.35 	96.48 	13455 	23.93 
97.73 	95.61 	28877 	23.92 
97.46 	94.31 	9157 	23.86 
97.35 	96.44 	13471 	23.82 
97.52 	94.71 	10971 	23.78 
97.68 	95.51 	27148 	23.77 
97.60 	95.31 	22227 	23.73 
97.35 	96.45 	14409 	23.68 
97.33 	96.35 	12028 	23.64 
97.38 	96.53 	16242 	23.62 
97.59 	94.97 	12374 	23.62 
97.67 	95.26 	15256 	23.59 
97.37 	96.52 	25457 	23.59 
97.54 	94.59 	6742 	23.57 
97.30 	96.03 	7035 	23.57 
97.29 	95.97 	7127 	23.56 
97.35 	96.51 	20513 	23.54 
97.65 	95.27 	21842 	23.51 
97.30 	96.13 	9541 	23.47 
97.33 	96.10 	9602 	23.44 
97.37 	96.49 	22689 	23.41 
97.37 	96.43 	13411 	23.41 
97.26 	96.06 	9539 	23.40 
97.42 	93.79 	5957 	23.37 
97.61 	95.03 	17574 	23.35 
97.30 	96.22 	13319 	23.35 
97.57 	95.11 	12481 	23.32 
97.26 	94.94 	9384 	23.28 
97.35 	93.01 	5214 	23.23 
97.32 	96.15 	10090 	23.23 
97.55 	94.84 	11514 	23.20 
97.11 	91.18 	4040 	23.15 
97.28 	95.70 	11934 	23.14 
97.61 	94.88 	12532 	23.12 
97.30 	96.24 	13130 	23.12 
97.26 	96.17 	15201 	23.03 
97.32 	96.17 	12605 	23.00 
97.29 	96.16 	12354 	22.95 
97.54 	94.75 	10244 	22.94 
97.48 	94.11 	14652 	22.91 
97.34 	96.22 	12044 	22.90 
97.63 	95.22 	26523 	22.90 
97.58 	94.84 	13067 	22.87 
97.33 	96.44 	21761 	22.87 
97.57 	94.95 	14117 	22.87 
97.58 	94.96 	16295 	22.86 
97.36 	96.22 	11960 	22.84 
97.58 	95.04 	22792 	22.81 
97.29 	96.16 	13993 	22.81 
97.60 	94.80 	12201 	22.80 
97.56 	94.70 	14388 	22.79 
97.50 	94.47 	11140 	22.78 
97.52 	94.54 	12003 	22.73 
97.36 	96.30 	13012 	22.72 
97.27 	96.02 	9164 	22.72 
97.23 	95.62 	11328 	22.64 
97.30 	93.09 	5342 	22.63 
97.26 	95.67 	7624 	22.57 
97.61 	94.93 	17924 	22.57 
97.34 	96.32 	22060 	22.54 
