Sample_Name DEL DUP INS INV
HMLY4F100509	23897 	59 	28186 	187 
HMLY2F460509	25096 	62 	28418 	192 
HMLY1F357549	24782 	56 	28500 	211 
CHYL2M491121	24207 	63 	27315 	188 
HMYL4F101937	24735 	56 	28602 	202 
HMLY3M151428	24092 	63 	27615 	199 
HMYL3F150611	23573 	73 	25694 	165 
HMYL4M100918	24657 	54 	28263 	198 
HMLY4M101836	24074 	58 	27036 	202 
HMYL3M252549	25196 	52 	28840 	208 
CHLY2F389079	24243 	79 	26330 	203 
ZQLY4M633672	24746 	54 	28090 	189 
HMLY3F816427	23770 	81 	25673 	202 
HMYL1M354691	12932 	37 	12708 	77 
ZQLY4M633774	25127 	52 	28592 	189 
HMLY4F510407	24883 	53 	28134 	199 
CHLY2F387651	24615 	73 	26619 	185 
CHLY2M387957	23876 	63 	25927 	179 
ZQLY4F635102	23637 	59 	26424 	200 
ZQLY2M471121	24989 	50 	27982 	203 
HMLY1F356325	24967 	48 	28133 	202 
HMYL4M407142	24128 	67 	27409 	196 
HMLY2F458977	24400 	64 	27520 	194 
CHLY2F493875	23843 	67 	25613 	185 
ZQLY3M843366	23648 	54 	26485 	190 
CHLY2M387753	24407 	66 	25697 	170 
HMLY4M202856	24592 	62 	27288 	181 
HMLY2M458671	24672 	45 	27978 	185 
HMYL1F357345	24799 	67 	26775 	169 
ZQLY4M325918	23750 	61 	26236 	183 
ZQLY4F634691	23024 	54 	26216 	181 
HMYL3F818161	24354 	50 	27831 	172 
HMLY3M713060	24329 	69 	26019 	190 
HMLY4F407549	23897 	72 	26172 	199 
ZQLY4F325101	24780 	40 	28290 	178 
HMYL3F920099	24161 	57 	26943 	170 
HMYL3F715407	24165 	65 	26331 	169 
ZQLY4F327141	23517 	65 	25947 	196 
ZQLY1F368467	23869 	56 	26332 	181 
HMLY2M461427	23659 	52 	26629 	185 
HMYL3M715204	24982 	47 	27508 	185 
ZQLY3M738672	23418 	48 	25839 	178 
ZQLY3F944079	24232 	48 	27269 	182 
CHLY2F386223	24499 	62 	26100 	176 
ZQLY3F738059	24091 	60 	26557 	175 
HMLY4M509794	24042 	79 	25869 	184 
ZQLY3F737345	24016 	38 	27027 	169 
CHLY1F178263	24679 	55 	28398 	175 
ZQLY1F368263	24447 	46 	27611 	175 
HMYL3F715305	24462 	52 	27070 	200 
ZQLY3F739079	23938 	65 	26253 	176 
CHLY2M387549	24423 	58 	26673 	173 
ZQLY3M146122	23517 	52 	26635 	189 
HMLY4M203264	24595 	78 	26442 	195 
HMYL4F407039	24567 	64 	25489 	173 
HMLY4M409488	24699 	69 	26611 	157 
ZQLY2F471223	24034 	49 	26715 	174 
HMYL2M458875	24509 	57 	26950 	187 
CHLY2F492447	24458 	62 	27104 	180 
ZQLY3F944895	23171 	57 	25401 	172 
ZQLY3M841734	23392 	67 	25831 	174 
CHLY2F385407	24598 	61 	27159 	173 
CHLY1F179487	23589 	52 	26063 	172 
CHYL1F282855	24017 	72 	25923 	169 
ZQLY1F369283	24079 	58 	26682 	185 
ZQLY4M532448	24204 	65 	25637 	167 
ZQLY4F327039	24724 	53 	27588 	166 
ZQLY3M146224	23604 	50 	26542 	182 
HMYL3M253570	24105 	53 	26908 	174 
HMYL2F460101	25032 	73 	26728 	162 
ZQLY3M249590	24447 	61 	26249 	173 
CHLY2M491937	24399 	63 	26813 	193 
HMYL4M408774	24040 	64 	25702 	178 
HMLY1F355101	24425 	52 	27151 	178 
HMLY4F305510	24786 	54 	26989 	176 
ZQLY3M739488	24168 	46 	27171 	162 
CHLY2M490917	24133 	54 	26176 	187 
CHYL1F177447	24323 	55 	27716 	175 
CHYL2F491019	24420 	59 	26731 	174 
HMYL4F204385	24269 	49 	27130 	173 
ZQLY2F472855	23358 	57 	25553 	167 
CHLY2F388059	24179 	68 	26287 	160 
HMYL3M715509	24120 	74 	25979 	168 
HMYL4M203570	24063 	65 	26030 	172 
ZQLY2M470101	23383 	68 	24627 	179 
ZQLY2M473569	23849 	52 	26486 	195 
HMYL3M816632	23858 	48 	26693 	187 
ZQYL4F224691	23758 	37 	27037 	196 
ZQLY2F471019	24169 	61 	26247 	183 
ZQLY4M326020	22665 	63 	24532 	163 
HMLY3M818570	24649 	54 	27736 	189 
ZQLY4F224283	24083 	59 	26809 	178 
CHLY2M386121	24431 	54 	26996 	173 
ZQLY2F469895	23744 	65 	25765 	181 
ZQLY3M738876	23369 	58 	25296 	171 
HMYL4M306326	24362 	45 	27285 	162 
HMYL4M100102	24424 	57 	27692 	172 
HMYL3F818263	24045 	59 	26612 	182 
HMYL4F202345	24810 	45 	27918 	192 
HMLY2M461835	24184 	61 	27104 	187 
ZQLY2M472549	24088 	67 	26073 	175 
ZQLY2M473773	23759 	45 	25955 	160 
ZQLY4F326223	23384 	47 	26531 	154 
HMYL4F100305	24539 	59 	26794 	201 
ZQLY4F224079	23884 	57 	25497 	172 
CHLY2F494079	24280 	76 	25610 	180 
CHLY1M179793	23637 	50 	26419 	187 
ZQLY3F248468	24525 	52 	26858 	171 
HMYL4F306937	24310 	53 	27165 	173 
CHYL2M386733	26349 	73 	24526 	193 
ZQLY4M326530	23080 	63 	25304 	151 
ZQLY3M843672	24228 	61 	26465 	166 
ZQLY4M223060	24185 	70 	26170 	169 
ZQLY3M636326	23570 	47 	26011 	174 
HMLY1M354283	24133 	50 	27730 	171 
HMYL4M407856	23251 	76 	24631 	163 
