SampleName	HET	HOM	Farm	Strain	Stage	Sex
ZQLY3M635408Cyclone	27524	21671	ZQ	LY	Stage3	M
ZQLY3M636326Cyclone	32186	20172	ZQ	LY	Stage3	M
ZQLY3M737856Cyclone	33886	20828	ZQ	LY	Stage3	M
ZQLY3M637244Cyclone	28544	21335	ZQ	LY	Stage3	M
ZQLY3M737958Cyclone	35633	18537	ZQ	LY	Stage3	M
ZQLY3M840918Cyclone	31890	19979	ZQ	LY	Stage3	M
ZQLY3M738264Cyclone	34706	18563	ZQ	LY	Stage3	M
ZQLY3M738672Cyclone	30138	21090	ZQ	LY	Stage3	M
ZQLY3M636631Cyclone	30056	20472	ZQ	LY	Stage3	M
ZQLY3M738876Cyclone	30021	21691	ZQ	LY	Stage3	M
ZQLY3M840408Cyclone	32699	19477	ZQ	LY	Stage3	M
ZQLY3M842958Cyclone	30892	21113	ZQ	LY	Stage3	M
ZQLY3M841734Cyclone	30166	21223	ZQ	LY	Stage3	M
ZQLY3M842651Cyclone	31627	19926	ZQ	LY	Stage3	M
ZQLY3M843263Cyclone	29325	21513	ZQ	LY	Stage3	M
ZQLY3M739488Cyclone	33173	19684	ZQ	LY	Stage3	M
ZQLY3M843366Cyclone	30184	20906	ZQ	LY	Stage3	M
ZQLY3M843468Cyclone	30589	21510	ZQ	LY	Stage3	M
ZQLY3M843672Cyclone	32296	20477	ZQ	LY	Stage3	M
ZQLY3M944284Cyclone	31415	19600	ZQ	LY	Stage3	M
ZQLY4F120204Cyclone	33699	19162	ZQ	LY	Stage4	F
ZQLY3M944488Cyclone	33397	18892	ZQ	LY	Stage3	M
ZQLY4F120306Cyclone	29335	21342	ZQ	LY	Stage4	F
ZQLY4F121427Cyclone	33629	19003	ZQ	LY	Stage4	F
ZQLY4F222753Cyclone	32060	20749	ZQ	LY	Stage4	F
ZQLY4F223161Cyclone	29672	19983	ZQ	LY	Stage4	F
ZQLY4F224283Cyclone	33985	19168	ZQ	LY	Stage4	F
ZQLY4F325101Cyclone	35418	18139	ZQ	LY	Stage4	F
ZQLY4F122243Cyclone	35101	19142	ZQ	LY	Stage4	F
ZQLY4F224079Cyclone	33417	19714	ZQ	LY	Stage4	F
ZQLY4F222855Cyclone	30181	19912	ZQ	LY	Stage4	F
ZQLY4F325611Cyclone	31432	20204	ZQ	LY	Stage4	F
ZQLY4F327039Cyclone	35595	18616	ZQ	LY	Stage4	F
ZQLY4F326427Cyclone	31043	20305	ZQ	LY	Stage4	F
ZQLY4F326223Cyclone	30462	20728	ZQ	LY	Stage4	F
ZQLY4F326122Cyclone	32437	19608	ZQ	LY	Stage4	F
ZQLY4F327243Cyclone	35195	18919	ZQ	LY	Stage4	F
ZQLY4F326325Cyclone	34364	19357	ZQ	LY	Stage4	F
ZQLY4F327141Cyclone	33325	19013	ZQ	LY	Stage4	F
ZQLY4F427651Cyclone	34932	18814	ZQ	LY	Stage4	F
ZQLY4F428672Cyclone	32697	19523	ZQ	LY	Stage4	F
ZQLY4F428977Cyclone	33868	18883	ZQ	LY	Stage4	F
ZQLY4F531325Cyclone	36006	18571	ZQ	LY	Stage4	F
ZQLY4F633467Cyclone	34849	18554	ZQ	LY	Stage4	F
ZQLY4F531835Cyclone	33195	19698	ZQ	LY	Stage4	F
ZQLY4F429080Cyclone	32259	18633	ZQ	LY	Stage4	F
ZQLY4F530509Cyclone	29004	21666	ZQ	LY	Stage4	F
ZQLY4F532550Cyclone	33718	19852	ZQ	LY	Stage4	F
ZQLY4F634793Cyclone	34666	18202	ZQ	LY	Stage4	F
ZQLY4F634385Cyclone	27849	20645	ZQ	LY	Stage4	F
ZQLY4F634487Cyclone	31768	20024	ZQ	LY	Stage4	F
ZQLY4F634691Cyclone	30803	19807	ZQ	LY	Stage4	F
ZQLY4M120408Cyclone	32752	18789	ZQ	LY	Stage4	M
ZQLY4F533059Cyclone	32412	19270	ZQ	LY	Stage4	F
ZQLY4F635102Cyclone	32444	21501	ZQ	LY	Stage4	F
ZQLY4M120101Cyclone	34400	18977	ZQ	LY	Stage4	M
ZQLY4M121122Cyclone	27701	21770	ZQ	LY	Stage4	M
ZQLY4F635612Cyclone	31417	19284	ZQ	LY	Stage4	F
ZQLY4M223060Cyclone	35330	18695	ZQ	LY	Stage4	M
ZQLY4M223264Cyclone	32178	19343	ZQ	LY	Stage4	M
ZQLY4M223570Cyclone	30907	20481	ZQ	LY	Stage4	M
ZQLY4M224896Cyclone	32290	19816	ZQ	LY	Stage4	M
ZQLY4M325000Cyclone	30709	20460	ZQ	LY	Stage4	M
ZQLY4M325816Cyclone	30741	19598	ZQ	LY	Stage4	M
ZQLY4M427448Cyclone	34745	18873	ZQ	LY	Stage4	M
ZQLY4M325918Cyclone	32861	18832	ZQ	LY	Stage4	M
ZQLY4M429590Cyclone	32355	19683	ZQ	LY	Stage4	M
ZQLY4M428467Cyclone	31722	20118	ZQ	LY	Stage4	M
